method,label,repeat,worker_pid,seed,device,dtype,grid,input_channels,inference_batch_size,training_batch_size,total_parameters,trainable_parameters,frozen_parameters,parameter_bytes,trainable_parameter_bytes,buffer_bytes,training_state_bytes_floor,forward_dense_real_macs,forward_spectral_complex_macs,forward_fft_real_flops_estimate,forward_estimated_flops_v1,component_count,output_shape,inference_p10_ms,inference_p50_ms,inference_p90_ms,inference_mean_ms,training_step_p10_ms,training_step_p50_ms,training_step_p90_ms,training_step_mean_ms,training_step_p50_ms_per_sample,inference_peak_mps_allocated_bytes_observed,inference_peak_mps_driver_bytes_observed,training_peak_mps_allocated_bytes_observed,training_peak_mps_driver_bytes_observed,resident_mps_allocated_bytes,resident_mps_driver_bytes,training_mps_increment_bytes_observed,mps_memory_sample_count,resident_process_rss_bytes,process_peak_rss_bytes,checkpoint_weights_used,timing_includes_data_loading,training_timing_includes_full_physics_loss
ridge_unet_aug,ridge residual 3D U-Net,0,74507,20261021,mps,torch.float32,8x16x16,42,1,12,94193,94193,0,376772,376772,0,1507088,42434560,0,0.0,84869120.0,13,"[1, 1, 8, 16, 16]",1.13223718944937,1.1716249864548445,1.3605622225441039,1.2168427201686427,18.360429839231074,18.428895447868854,18.7252166448161,18.549583241110668,1.5357412873224046,5583872,44859392,34557440,78970880,5157888,42418176,29399552,637,780713984,1019445248,False,False,True
ridge_unet_aug,ridge residual 3D U-Net,1,74511,20261022,mps,torch.float32,8x16x16,42,1,12,94193,94193,0,376772,376772,0,1507088,42434560,0,0.0,84869120.0,13,"[1, 1, 8, 16, 16]",1.133316708728671,1.1499790125526488,1.4219291624613113,1.2537635600892827,18.32813776563853,18.38937500724569,18.741937552113086,18.47240415518172,1.5324479172704741,5583872,44859392,34536448,78970880,5157888,42418176,29378560,628,772734976,1013432320,False,False,True
ridge_unet_aug,ridge residual 3D U-Net,2,74533,20261023,mps,torch.float32,8x16x16,42,1,12,94193,94193,0,376772,376772,0,1507088,42434560,0,0.0,84869120.0,13,"[1, 1, 8, 16, 16]",1.142075622919947,1.161750522442162,1.3465332798659801,1.2057666113832965,18.31603783648461,18.401187495328486,18.656808976083994,18.485756200971082,1.533432291277374,5583872,44859392,34765824,78970880,5157888,42418176,29607936,630,775880704,1015496704,False,False,True
ridge_fno_aug,ridge residual FNO,0,74538,20261122,mps,torch.float32,8x16x16,42,1,12,44203,44203,0,342700,342700,0,1370800,5210112,41472,4055040.0,14724096.0,19,"[1, 1, 8, 16, 16]",1.3648794032633305,1.408395532052964,1.7137753427959979,1.5296468453016132,8.39702922385186,8.54141649324447,9.282861929386856,8.800660213455558,0.7117847077703724,6351616,44826624,40205824,100827136,5122816,42418176,35083008,482,809664512,1052311552,False,False,True
ridge_fno_aug,ridge residual FNO,1,74562,20261123,mps,torch.float32,8x16x16,42,1,12,44203,44203,0,342700,342700,0,1370800,5210112,41472,4055040.0,14724096.0,19,"[1, 1, 8, 16, 16]",1.4957919833250344,1.5368539607152343,1.7771878745406866,1.5796938445419073,8.37126667611301,8.565770462155342,9.237091336399317,8.71026668464765,0.7138142051796118,6351616,44826624,40201984,100827136,5122816,42418176,35079168,479,817610752,1057472512,False,False,True
ridge_fno_aug,ridge residual FNO,2,74566,20261124,mps,torch.float32,8x16x16,42,1,12,44203,44203,0,342700,342700,0,1370800,5210112,41472,4055040.0,14724096.0,19,"[1, 1, 8, 16, 16]",1.364191377069801,1.4927085139788687,1.6265920246951282,1.498329293099232,8.339133311528713,8.458896016236395,8.76649112906307,8.551708346931264,0.7049080013530329,6351616,44826624,40205824,100827136,5122816,42418176,35083008,467,815939584,1055981568,False,False,True
ridge_deeponet,ridge residual DeepONet,0,74588,20261223,mps,torch.float32,8x16x16,42,1,12,49313,49313,0,197252,197252,0,789008,6828800,0,0.0,13657600.0,5,"[1, 1, 8, 16, 16]",0.7383666117675602,0.7699999841861427,1.0607580305077136,0.8236416149884462,2.908508258406073,2.960937563329935,4.819687514100224,3.3077187079470605,0.24674479694416127,6132736,42696704,36781824,53313536,4972032,42418176,31809792,292,780238848,970211328,False,False,True
ridge_deeponet,ridge residual DeepONet,1,74593,20261224,mps,torch.float32,8x16x16,42,1,12,49313,49313,0,197252,197252,0,789008,6828800,0,0.0,13657600.0,5,"[1, 1, 8, 16, 16]",0.590349966660142,0.6423959857784212,1.0652746655978262,0.8057562983594835,2.940417011268437,3.007812483701855,3.146128775551915,3.1197876029182225,0.2506510403084879,6132736,42696704,34471168,53313536,4972032,42418176,29499136,283,775503872,965885952,False,False,True
ridge_deeponet,ridge residual DeepONet,2,74595,20261225,mps,torch.float32,8x16x16,42,1,12,49313,49313,0,197252,197252,0,789008,6828800,0,0.0,13657600.0,5,"[1, 1, 8, 16, 16]",0.9937874739989638,1.0308545897714794,1.3054500333964825,1.0997969890013337,2.943412505555898,3.0216664890758693,3.1873339437879626,3.155016544042155,0.25180554075632244,6132736,42696704,34471168,53313536,4972032,42418176,29499136,295,783024128,974323712,False,False,True
ray_set_operator,provisional ray-set operator,0,74621,20261324,mps,torch.float32,8x16x16,42,1,12,45973,45973,0,349780,349780,0,1399120,18788352,41472,4055040.0,41880576.0,25,"[1, 1, 8, 16, 16]",2.0740287844091654,2.2068755351938307,2.9769002459943295,2.3314718826441094,94.80325385229662,95.1925624976866,96.77003332180902,95.52380631212145,7.932713541473883,10014976,44892160,105131008,159760384,5132544,42418176,99998464,2128,811859968,1075789824,False,False,True
ray_set_operator,provisional ray-set operator,1,74627,20261325,mps,torch.float32,8x16x16,42,1,12,45973,45973,0,349780,349780,0,1399120,18788352,41472,4055040.0,41880576.0,25,"[1, 1, 8, 16, 16]",1.9993628724478185,2.073770563583821,3.007216774858535,2.2389708959963173,94.67706660507247,95.04135401220992,97.01487527927384,95.47833755495958,7.920112834350827,9621760,44892160,105131008,159760384,5132544,42418176,99998464,2087,813416448,1077018624,False,False,True
ray_set_operator,provisional ray-set operator,2,74651,20261326,mps,torch.float32,8x16x16,42,1,12,45973,45973,0,349780,349780,0,1399120,18788352,41472,4055040.0,41880576.0,25,"[1, 1, 8, 16, 16]",1.9933914649300277,2.0200624712742865,2.22589970799163,2.1324604022083804,94.71021218923852,95.0621665106155,96.17564607178792,95.30265824287198,7.921847209217958,9621760,44892160,105131008,159760384,5132544,42418176,99998464,2091,815267840,1076232192,False,False,True
zero_init_ray_set_adapter,frozen-FNO zero-init ray-set adapter,0,74657,20261425,mps,torch.float32,8x16x16,42,1,12,49191,4988,44203,362652,19952,0,422508,25243680,41472,4055040.0,54791232.0,29,"[1, 1, 8, 16, 16]",2.9143917141482234,2.9583959840238094,3.083712491206825,3.0312167858937755,93.68327035335824,94.06160452635959,95.44948311522603,94.39184790826403,7.838467043863299,7319296,44941312,78214656,163889152,5147392,42418176,73067264,2118,813842432,1057292288,False,False,True
zero_init_ray_set_adapter,frozen-FNO zero-init ray-set adapter,1,74682,20261426,mps,torch.float32,8x16x16,42,1,12,49191,4988,44203,362652,19952,0,422508,25243680,41472,4055040.0,54791232.0,29,"[1, 1, 8, 16, 16]",2.9235578374937177,2.998707990627736,3.168621356599033,3.0666270497022197,93.85660842526704,94.16964597767219,95.77190394047648,94.68566253781319,7.847470498139349,7958272,44941312,78211328,163889152,5147392,42418176,73063936,2099,812449792,1059176448,False,False,True
zero_init_ray_set_adapter,frozen-FNO zero-init ray-set adapter,2,74689,20261427,mps,torch.float32,8x16x16,42,1,12,49191,4988,44203,362652,19952,0,422508,25243680,41472,4055040.0,54791232.0,29,"[1, 1, 8, 16, 16]",2.8881368692964315,2.9853754676878452,3.0873911222442985,2.982914535095915,93.82665903540328,94.29214551346377,96.17453747196123,94.66125214821659,7.857678792788647,8163072,44941312,78365696,163889152,5147392,42418176,73218304,2100,820559872,1064075264,False,False,True
